id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
265716;28/01/2020;terça-feira;18:00:00;PR;376;182;MARINGA;Falta de Atenção à Condução;Colisão traseira;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Dupla;Reta;Sim;4;0;1;0;3;0;1;3;-23,43684;-51,87881;SR-PR;DEL7/7;UOP04/PR
265717;28/01/2020;terça-feira;19:30:00;PR;116;119;CURITIBA;Falta de Atenção à Condução;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Dupla;Reta;Sim;2;0;0;1;1;0;1;2;-25,54456;-49,30146;SR-PR;DEL7/1;UOP03/PR
265718;28/01/2020;terça-feira;18:25:00;SP;101;49;UBATUBA;Desobediência às normas de trânsito pelo condutor;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;2;0;0;1;1;0;1;2;-23,44411;-45,08376;SR-SP;DEL6;UOP03/SP
265719;28/01/2020;terça-feira;16:22:00;MT;364;348;SANTO ANTONIO DO LEVERGER;Defeito Mecânico no Veículo;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;1;0;0;1;0;0;1;1;-15,80417;-55,5543;SR-MT;DEL2/1;UOP01/MT
265720;28/01/2020;terça-feira;20:27:00;GO;40;41;LUZIANIA;Pista Escorregadia;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Simples;Curva;Não;1;0;0;1;0;0;1;1;-16,3678;-47,82697;SR-DF;UOP02/DF;
265721;28/01/2020;terça-feira;18:10:00;GO;153;108;SANTA TEREZA DE GOIAS;Defeito Mecânico no Veículo;Tombamento;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Simples;Desvio Temporário;Não;7;0;1;2;0;4;3;3;-13,77892;-49,03207;SR-GO;DEL1/7;UOP01/GO
265722;28/01/2020;terça-feira;17:20:00;PR;153;50,5;SANTO ANTONIO DA PLATINA;Defeito Mecânico no Veículo;Colisão com objeto em movimento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Não Informado;Não;3;0;0;2;1;0;2;2;-23,3629;-50,06503;SR-PR;DEL7/7;UOP07/PR
265723;28/01/2020;terça-feira;20:50:00;PE;408;82,1;PAUDALHO;Falta de Atenção do Pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Sim;2;0;0;1;1;0;1;1;-7,941141;-35,1237;SR-PE;DEL11/1;UOP01/PE
265724;28/01/2020;terça-feira;17:40:00;PR;476;205;LAPA;Pista Escorregadia;Tombamento;Com Vítimas Feridas;Anoitecer;Decrescente;Chuva;Simples;Curva;Não;2;0;2;0;0;0;2;1;-25,7795;-49,80429;SR-PR;DEL7/2;UOP03/PR
265725;28/01/2020;terça-feira;19:20:00;RO;364;436,5;JARU;Defeito Mecânico no Veículo;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Desvio Temporário;Não;1;0;1;0;0;0;1;1;-10,3774;-62,55303;SR-RO;DEL21/3;UOP02/RO
265726;28/01/2020;terça-feira;20:30:00;SC;101;85;BARRA VELHA;Desobediência às normas de trânsito pelo condutor;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Interseção de vias;Não;2;0;1;0;1;0;1;2;-26,62841;-48,70814;SR-SC;DEL8/3;UOP02/SC
